dd 
Sat Dec 16 14:12:06 UTC 2017
268435456 bytes (268 MB, 256 MiB) copied, 3.26797 s, 82.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18745 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18869 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1878 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1874 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18632 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18725 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18777 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1873 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18916 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18654 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18725 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18744 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18729 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18775 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.17089 s, 64.4 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18746 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18879 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1872 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18725 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18664 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18771 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18677 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18738 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18933 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18887 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18749 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18723 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18734 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18732 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1741 s, 64.3 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18862 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18739 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18533 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18734 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1869 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18745 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18728 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18889 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1892 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.187 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18751 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18714 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18746 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18733 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.17333 s, 64.3 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18729 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18748 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18755 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18609 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18634 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18761 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18708 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1892 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18951 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.1866 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18709 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18772 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18567 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18724 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18048 s, 64.2 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18741 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18741 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18755 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18749 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18694 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18769 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18949 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18939 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18753 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18683 s, 64.1 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 4.18704 s, 64.1 MB/s
measurement finished
